Especies;Cantidad;Estado de conservación UICN;Estatus
 Dendrocygna autumnalis;3;PM;R
 Spatula discors;72;PM;M
 Tachybaptus dominicus;1;PM;R
 Patagioenas flavirostris;12;PM;R
 Columbina inca;5;PM;R
 Columbina talpacoti;6;PM;R
 Leptotila verreauxi;2;PM;R
 Zenaida asiatica;1;PM;R,M
 Zenaida macroura;3;PM;R,M
 Piaya cayana;1;PM;R
 Amazilia saucerottei;1;PM;R
 Amazilia tzacatl;5;PM;R
 Gallinula galeata;3;PM;R,M?
 Fulica americana;9;PM;R,M
 Himantopus mexicanus;28;PM;R,M
 Vanellus chilensis;22;PM;R
 Charadrius vociferus;1;PM;R,M
 Jacana spinosa;13;PM;R
 Ardea alba;3;PM;R,M
 Egretta thula;2;PM;R,M
 Egretta caerulea;6;PM;R,M
 Bubulcus ibis;60;PM;R,M
 Butorides virescens;3;PM;R,M
 Coragyps atratus;9;PM;R
 Cathartes aura;2;PM;R,M
 Elanus leucurus;1;PM;R
 Spizaetus tyrannus;1;PM;R
 Rupornis magnirostris;2;PM;R
 Buteo platypterus;1;PM;M
 Buteo brachyurus;1;PM;R,M
 Momotus lessonii;1;PM;R
 Melanerpes hoffmannii;6;PM;R,END
 Milvago chimachima;1;PM;R
 Zimmerius parvus;1;PM;?
 Sayornis nigricans;4;PM;R
 Pitangus sulphuratus;8;PM;R
 Myiozetetes similis;6;PM;R
 Tyrannus melancholicus;1;PM;R
 Psilorhinus morio;7;PM;R
 Pygochelidon cyanoleuca;5;PM;R,M
 Stelgidopteryx serripennis;1;PM;R,M
 Troglodytes aedon;2;PM;R
 Cantorchilus modestus;4;PM;R
 Catharus aurantiirostris;3;PM;R
 Spinus psaltria;3;PM;R
 Spinus xanthogastrus;2;PM;R
 Zonotrichia capensis;24;PM;R
 Melozone cabanisi;1;PM;R,END
 Sturnella magna;8;NT;R
 Psarocolius montezuma;6;PM;R
 Icterus galbula;5;PM;M
 Dives dives;6;PM;R
 Quiscalus mexicanus;46;PM;R
 Parkesia motacilla;1;PM;M
 Oreothlypis peregrina;4;N/A;M
 Geothlypis philadelphia;1;PM;M
 Setophaga petechia;1;PM;R,M
 Basileuterus rufifrons;2;PM;R
 Cardellina pusilla;1;PM;M
 Piranga rubra;4;PM;M
 Sporophila morelleti;1;PM;R
 Passer domesticus;12;PM;R
